Variable 1,Variable 2,Correlation
Open,High,0.9986435138213644
Open,Low,0.9976452621910331
Open,Close,0.9958162507885142
Open,MA_5,0.994143966107058
Open,MA_10,0.9838791275524946
Open,MA_20,0.9647410745495989
Open,MA_60,0.9103164824986135
Open,MA_120,0.8067085246765261
Open,BB_Middle,0.9647410745495989
Open,BB_Upper,0.9389898991105611
Open,BB_Lower,0.9598682113088848
High,Low,0.9979242445980976
High,Close,0.9980343595910408
High,MA_5,0.994111524962281
High,MA_10,0.9844063519288212
High,MA_20,0.9661140281544118
High,MA_60,0.913136318603745
High,MA_120,0.8101394186679224
High,BB_Middle,0.9661140281544118
High,BB_Upper,0.9414910795205411
High,BB_Lower,0.9600754210408038
Low,Close,0.9985985184980073
Low,MA_5,0.9916145126192222
Low,MA_10,0.979837858914469
Low,MA_20,0.9591235361976667
Low,MA_60,0.9033620955266091
Low,MA_120,0.7984870947315138
Low,BB_Middle,0.9591235361976667
Low,BB_Upper,0.9312125795132016
Low,BB_Lower,0.9565767475521062
Close,MA_5,0.9910830359740335
Close,MA_10,0.9799374646351882
Close,MA_20,0.9602186355834266
Close,MA_60,0.906159525171308
Close,MA_120,0.8021202254406329
Close,BB_Middle,0.9602186355834266
Close,BB_Upper,0.9337335445057887
Close,BB_Lower,0.9562187953212983
MA_5,MA_10,0.9941370505556217
MA_5,MA_20,0.9758933087417303
MA_5,MA_60,0.9201661385175086
MA_5,MA_120,0.8184423033544301
MA_5,BB_Middle,0.9758933087417303
MA_5,BB_Upper,0.9488391887464457
MA_5,BB_Lower,0.9719641476869387
MA_10,MA_20,0.9892667300182609
MA_10,MA_60,0.9346933907949039
MA_10,MA_120,0.8365065655598934
MA_10,BB_Middle,0.9892667300182609
MA_10,BB_Upper,0.964655257065195
MA_10,BB_Lower,0.9824849820941779
MA_20,MA_60,0.9588451683196674
MA_20,MA_120,0.8688804586765002
MA_20,BB_Middle,1.0
MA_20,BB_Upper,0.9840730179792023
MA_20,BB_Lower,0.9842397599006014
MA_60,MA_120,0.9568135614393939
MA_60,BB_Middle,0.9588451683196676
MA_60,BB_Upper,0.9569966497699252
MA_60,BB_Lower,0.9303804344838891
MA_120,BB_Middle,0.8688804586765008
MA_120,BB_Upper,0.868492702794974
MA_120,BB_Lower,0.8418058391536478
MACD,MACD_Signal,0.9394671328701593
MACD,RSI,0.7056807547012615
MACD_Hist,RSI,0.7815890578344753
MACD_Hist,Stochastic,0.7738320441966954
BB_Middle,BB_Upper,0.9840730179792023
BB_Middle,BB_Lower,0.9842397599006014
BB_Upper,BB_Lower,0.9371280240950239
RSI,Stochastic,0.8019426593213085
