N,종목명,닉네임,작성시간,제목,내용,크롤링일자,형태소,긍정_형태소_수,부정_형태소_수,중립_형태소_수,감성_점수,감성,신뢰도
1,글로벌에스엠,빛의속도,방금 전,지금 떨어지면 회복 불가능이다,완전 복구 불구능,2026-02-11 13:41:02,"완전, 복구, 불구능",0,0,3,0,중립,0.0
2,아크릴,파슈파티,방금 전,시총 10조면 주당 100만원?!,달나라 렛츠고!!,2026-02-11 13:41:02,"달나라, 렛츠고",0,0,2,0,중립,0.0
3,LG,Kospi5000,방금 전,오후에는 하락입니다. 괜히 기분만 설례였군..,기관 & 외국인 올리고 매도 실시..,2026-02-11 13:41:02,"기관, 외국인, 올리고, 매도, 실시",0,1,4,-1,부정,0.2
4,갤럭시아머니트리,선무당때려잡기,방금 전,투자 풍월: 상한가+10~20% 상승가능성,선무당의 주식 판타지 소설^^,2026-02-11 13:41:02,"선무당의, 주식, 판타지, 소설",0,0,4,0,중립,0.0
5,와이씨,재미있는주가계산쉐프,방금 전,달려라,위로 좀 올라가자,2026-02-11 13:41:02,"위로, 올라가자",1,0,1,2,긍정,0.5
6,현대차,월천대사ㅎ만세,방금 전,설레발 치지말고,관세 해결 되고 나서 큰소리로 치라고... 트럼프 관세는 가장 큰 리스크가 임...,2026-02-11 13:41:02,"관세, 해결, 되고, 나서, 큰소리로, 치라고, 트럼프, 관세는, 가장, 리스크가",0,1,9,-1,부정,0.1
7,DSR,donggagguli,방금 전,간만에 거래 좀 되는,오늘 5만주 만 넘기자,2026-02-11 13:41:03,"오늘, 만주, 넘기자",0,0,3,0,중립,0.0
8,노타,피리부는가시나,방금 전,앗싸 아크릴...,ㅋㅋㅋㅋ ㅋ,2026-02-11 13:41:03,,0,0,0,0,중립,0.0
9,삼성전자,쾌활한패턴관망가,방금 전,설 연휴전에 20만원 찍고 연휴기간 기분좋게 쉬고 올께요,주주 여러분 설 연휴전에 20만원 찍고 기분좋은 연휴되세요,2026-02-11 13:41:04,"주주, 여러분, 연휴전에, 만원, 찍고, 기분좋은, 연휴되세요",1,0,6,1,긍정,0.143
10,제이앤티씨,shgh,방금 전,초오옷 같네,쫌 가즈아 🔥🙌😎,2026-02-11 13:41:04,가즈아,1,0,0,2,긍정,1.0
11,SK하이닉스,갈매기사랑,방금 전,HBM4부터는 삼전이 주도권,공급도 그렇고 주가도 그렇고~~!,2026-02-11 13:41:05,"공급도, 그렇고, 주가도, 그렇고",0,0,4,0,중립,0.0
